корпус;количество комнат;общая площадь;жилая площадь;стоимость
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,29;15,01;2646078,11
3;1;42,35;14,96;2649832,30
3;1;42,35;14,96;2649832,30
3;1;42,35;14,96;2649832,30
3;1;42,35;14,96;2649832,30
3;1;42,35;14,96;2649832,30
3;1;42,35;14,96;2649832,30
3;1;42,35;14,96;2649832,30
3;1;42,35;14,96;2649832,30
3;1;42,73;14,81;2673608,84
3;1;42,73;14,81;2673608,84
3;1;42,73;14,81;2673608,84
3;1;43,42;15,50;2716782,02
3;1;43,42;15,50;2716782,02
3;1;43,42;15,50;2716782,02
3;1;43,48;15,45;2720536,21
3;1;43,48;15,45;2720536,21
3;2;51,22;29,91;3262055,82
3;2;51,97;29,91;3309821,19
3;2;51,97;29,91;3309821,19
3;2;51,97;29,91;3309821,19
3;2;51,97;29,91;3309821,19
3;2;51,97;29,91;3309821,19
3;2;51,97;29,91;3309821,19
3;2;51,97;29,91;3309821,19
3;2;51,97;29,91;3309821,19
3;2;51,97;29,91;3309821,19
3;2;51,97;29,91;3309821,19
3;2;51,97;29,91;3309821,19
3;2;51,97;29,91;3309821,19
3;2;51,97;29,91;3309821,19
3;2;52,00;30,54;3311731,80
3;2;52,00;30,54;3311731,80
3;2;52,00;30,54;3311731,80
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,01;30,54;3312368,67
3;2;52,03;29,93;3313642,41
